facility_id,name,ward,query_tried,error
1410051024974,アスクみのわ保育園,港北区,アスクみのわ保育園 認定こども園 横浜市港北区 日本,
1410051027886,横浜りとるぱんぷきんず(保育所部分),港北区,横浜りとるぱんぷきんず 認定こども園 横浜市港北区 日本,
1410051017259,新羽どろんこ保育園,港北区,新羽どろんこ保育園 認定こども園 横浜市港北区 日本,
1410051026631,ぶれすと新横浜ほいくえん,港北区,ぶれすと新横浜ほいくえん 認定こども園 横浜市港北区 日本,
1410051015758,パレット保育園・高田,港北区,パレット保育園・高田 認定こども園 横浜市港北区 日本,
1410051019289,ポピンズナーサリースクール小机,港北区,ポピンズナーサリースクール小机 認定こども園 横浜市港北区 日本,
1410051027134,まなびの森 ヴィラ日吉こども園,港北区,まなびの森 ヴィラ日吉こども園 認定こども園 横浜市港北区 日本,
1410051015600,おおくらやまえきまえのぞみ保育園,港北区,おおくらやまえきまえのぞみ保育園 認定こども園 横浜市港北区 日本,
1410051017119,アスクバイリンガル保育園ゆめみらい,港北区,アスクバイリンガル保育園ゆめみらい 認定こども園 横浜市港北区 日本,
1410051024586,キッズパートナー小机,港北区,キッズパートナー小机 認定こども園 横浜市港北区 日本,
1410051025476,光の園第二保育園,港北区,光の園第二保育園 認定こども園 横浜市港北区 日本,
1410051026623,Gakkenほいくえん綱島,港北区,Gakkenほいくえん綱島 認定こども園 横浜市港北区 日本,
1410051015709,光の園保育園,港北区,光の園保育園 認定こども園 横浜市港北区 日本,
1410051024230,光の園アンティー保育園,港北区,光の園アンティー保育園 認定こども園 横浜市港北区 日本,
1410051028561,オハナ新羽保育園,港北区,オハナ新羽保育園 認定こども園 横浜市港北区 日本,
1410051025633,パレット保育園・妙蓮寺,港北区,パレット保育園・妙蓮寺 認定こども園 横浜市港北区 日本,
1410051017127,岩崎学園新横浜第二保育園,港北区,岩崎学園新横浜第二保育園 認定こども園 横浜市港北区 日本,
1410051019651,大豆戸どろんこ保育園,港北区,大豆戸どろんこ保育園 認定こども園 横浜市港北区 日本,
1410051018232,Gakkenほいくえん日吉本町,港北区,Gakkenほいくえん日吉本町 認定こども園 横浜市港北区 日本,
