facility_id,name,ward,query,place_id,address_before,address_after,lat_before,lat_after,lng_before,lng_after,phone_before,phone_after,website_before,website_after,map_url_before,map_url_after
1410051014918,ベネッセ 日吉保育園,港北区,ベネッセ 日吉保育園 港北区 横浜市 保育園,ChIJNWHA_J1fGGARukNVtPijdy4,"NTT西日本 七条別館, 下珠数屋町通, 西玉水町, 下京区, 京都市, 京都府, 600-8505, 日本",〒223-8526 神奈川県横浜市港北区日吉４丁目１−１ 1F 慶應義塾日吉キャンパス,34.990339,35.5520511,135.762865,139.6472816,,045-560-6506,,https://hoiku.benesse-style-care.co.jp/facilities/area_kanagawa/yokohama/h-hiyoshi/,"https://www.google.com/maps/search/?api=1&query=34.990339,135.762865",https://maps.google.com/?cid=3348325136545956794
1410051024594,ベネッセ 新横浜保育園,港北区,ベネッセ 新横浜保育園 港北区 横浜市 保育園,ChIJkfWmptNeGGARVkpJI2jxEH8,"NTT西日本 七条別館, 下珠数屋町通, 西玉水町, 下京区, 京都市, 京都府, 600-8505, 日本",〒222-0033 神奈川県横浜市港北区新横浜２丁目１１−１１ スケートセンタ 2階,34.990339,35.507934,135.762865,139.612343,,045-476-5741,,https://hoiku.benesse-style-care.co.jp/facilities/area_kanagawa/yokohama/h-cccshinyokohama/,"https://www.google.com/maps/search/?api=1&query=34.990339,135.762865",https://maps.google.com/?cid=9156083472015116886
1410051024974,アスクみのわ保育園,港北区,アスクみのわ保育園 港北区 横浜市 保育園,ChIJI20W6llfGGAR5HoI1kLB2wE,,〒223-0051 神奈川県横浜市港北区箕輪町２丁目２−２９ 1F,,35.5470576,,139.6440535,,045-566-8606,,https://list.nihonhoiku.co.jp/nursery/detail/minowa/?utm_source=google&utm_medium=map&utm_campaign=gbp,,https://maps.google.com/?cid=133913106740443876
1410051017135,岩崎学園新横浜保育園,港北区,岩崎学園新横浜保育園 港北区 横浜市 保育園,ChIJ2VcYDNFeGGAReEpqJ-Y8GsM,"NTT西日本 七条別館, 下珠数屋町通, 西玉水町, 下京区, 京都市, 京都府, 600-8505, 日本",〒222-0033 神奈川県横浜市港北区新横浜２丁目４−１０,34.990339,35.509036,135.762865,139.616174,,045-474-2365,,http://hoiku.iwasaki.ac.jp/kosodate/isyh/index.html,"https://www.google.com/maps/search/?api=1&query=34.990339,135.762865",https://maps.google.com/?cid=14058616145991846520
1410051026516,明日葉保育園綱島園,港北区,明日葉保育園綱島園 港北区 横浜市 保育園,ChIJabRSVZZfGGARtNiIYVEEUjE,"一般社団法人 日本病院管理機構, 錦小路通, 吉野町, 中京区, 京都市, 京都府, 604-8254, 日本",〒223-0052 神奈川県横浜市港北区綱島東３丁目１−４,35.0045535,35.5378822,135.7586522,139.6402475,,045-717-7714,,https://www.ashita-ba.jp/hoiku/tsunashima/,"https://www.google.com/maps/search/?api=1&query=35.0045535,135.7586522",https://maps.google.com/?cid=3553907803523963060
1410051027886,横浜りとるぱんぷきんず(保育所部分),港北区,横浜りとるぱんぷきんず(保育所部分) 港北区 横浜市 保育園,ChIJXXbU_mtfGGARveRoTuR_mAM,,〒223-0062 神奈川県横浜市港北区日吉本町４丁目１０−４９,,35.5457737,,139.6348366,,045-560-5645,,https://www.seikoukai.or.jp/facilities/yokohama/,,https://maps.google.com/?cid=259097597118571709
1410051026003,にじいろ保育園日吉,港北区,にじいろ保育園日吉 港北区 横浜市 保育園,ChIJF-jGPrFfGGAR_x9yzYd1Wjo,"大谷保育園, 花屋町通, 門前町, 乾町, 下京区, 京都市, 京都府, 600-8304, 日本",〒223-0051 神奈川県横浜市港北区箕輪町２丁目７−４２ プラウドシティ日吉 ﾚｼﾞﾃﾞﾝｽⅡｿｺﾗ日吉,34.993559,35.5464641,135.758497,139.6447317,,045-534-5261,,https://www.like-kd.co.jp/establishment/nijiiro/HPhiyoshi?utm_source=google&utm_medium=maps&utm_campaign=hiyoshi,"https://www.google.com/maps/search/?api=1&query=34.993559,135.758497",https://maps.google.com/?cid=4204802428231622655
1410051017259,新羽どろんこ保育園,港北区,新羽どろんこ保育園 港北区 横浜市 保育園,ChIJfzvcWctYGGARr3aqg6UFFus,,〒223-0057 神奈川県横浜市港北区新羽町２１８５−１,,35.5264206,,139.6090586,,045-544-5033,,https://www.doronko.jp/facilities/doronko-nippa/?utm_source=GBP&utm_medium=click&utm_campaign=page_doronko-nippa,,https://maps.google.com/?cid=16939733256837428911
1410051026631,ぶれすと新横浜ほいくえん,港北区,ぶれすと新横浜ほいくえん 港北区 横浜市 保育園,ChIJEzdjnzlfGGARTjF3Yp_WJ00,,〒222-0034 神奈川県横浜市港北区岸根町３７５−１,,35.5027115,,139.6129645,,045-718-6107,,https://hoikuen.brest.co.jp/shinyoko/,,https://maps.google.com/?cid=5559648245052289358
1410051015758,パレット保育園・高田,港北区,パレット保育園・高田 港北区 横浜市 保育園,ChIJ-ePDHFpfGGARBgoqmmeE1mk,,〒223-0065 神奈川県横浜市港北区高田東４丁目２２−３８,,35.5492024,,139.6204353,,045-544-1149,,https://p-hoiku.com/info/72-2/%E5%90%84%E5%9C%92%E6%83%85%E5%A0%B1_%E9%AB%98%E7%94%B0/,,https://maps.google.com/?cid=7626428599501457926
1410051019289,ポピンズナーサリースクール小机,港北区,ポピンズナーサリースクール小机 港北区 横浜市 保育園,ChIJ--rfQyhZGGARvMfbHJZFYC8,,〒222-0036 神奈川県横浜市港北区小机町２５８０−１,,35.507964,,139.600842,,045-470-6621,,https://www.poppins.co.jp/educare/room-search/kodukue/?utm_source=gmap&utm_medium=room&utm_campaign=202210,,https://maps.google.com/?cid=3413805028578412476
1410051027134,まなびの森 ヴィラ日吉こども園,港北区,まなびの森 ヴィラ日吉こども園 港北区 横浜市 保育園,ChIJsVBFj3RfGGARcVVYS1oryHs,,〒223-0051 神奈川県横浜市港北区箕輪町１丁目２−１ １,,35.5509782,,139.6470934,,,,http://kodomonomori.co.jp/vh/,,https://maps.google.com/?cid=8919426728818398577
1410051015600,おおくらやまえきまえのぞみ保育園,港北区,おおくらやまえきまえのぞみ保育園 港北区 横浜市 保育園,ChIJHcS9-99eGGARB54Og-EhWVg,,〒222-0037 神奈川県横浜市港北区大倉山３丁目５−１６,,35.520741,,139.6297087,,045-717-6660,,https://shkb.org/ookurayamaekimae/,,https://maps.google.com/?cid=6366156800715038215
1410051017119,アスクバイリンガル保育園ゆめみらい,港北区,アスクバイリンガル保育園ゆめみらい 港北区 横浜市 保育園,ChIJIz4vXQ1fGGARW6Lu5Jo0DLs,,〒223-0052 神奈川県横浜市港北区綱島東４丁目１−５,,35.5427877,,139.6407579,,045-540-3030,,https://list.nihonhoiku.co.jp/nursery/detail/yumemirai/?utm_source=google&utm_medium=map&utm_campaign=gbp,,https://maps.google.com/?cid=13478205624683504219
